Sampling,Model,Recall,Precision,F1,Accuracy,ROC AUC,Precision-Recall AUC
No sampling,RandomForestClassifier,0.7323943661971831,0.8524590163934426,0.787878787878788,0.9523809523809523,0.970959217587926,0.8859855773205169
No sampling,GaussianNB,0.7323943661971831,0.5777777777777777,0.6459627329192545,0.9030612244897959,0.8502056828397853,0.6719291753346046
No sampling,LinearDiscriminantAnalysis,0.8028169014084507,0.3352941176470588,0.4730290456431535,0.7840136054421769,0.7856812052197129,0.5817892703113867
No sampling,LogisticRegression,0.28169014084507044,1.0,0.43956043956043955,0.9132653061224489,0.8684174680578636,0.6569860576756572
No sampling,SVC,0.7887323943661971,0.7567567567567568,0.7724137931034482,0.9438775510204082,0.9655923938213419,0.8786115599364057
No sampling,XGBClassifier,0.8309859154929577,0.7375,0.7814569536423841,0.9438775510204082,0.9739695425940557,0.8681886316463738
