Sampling,Model,Recall,Precision,F1,Accuracy,ROC AUC,Precision-Recall AUC
No sampling,RandomForestClassifier,0.7183098591549296,0.864406779661017,0.7846153846153846,0.9523809523809523,0.9615059797858718,0.8668344818265339
No sampling,GaussianNB,0.7323943661971831,0.5777777777777777,0.6459627329192545,0.9030612244897959,0.8502056828397853,0.6719291753346046
No sampling,LinearDiscriminantAnalysis,0.8028169014084507,0.3352941176470588,0.4730290456431535,0.7840136054421769,0.7856812052197129,0.5817892703113867
No sampling,LogisticRegression,0.7887323943661971,0.7567567567567568,0.7724137931034482,0.9438775510204082,0.9578826926744217,0.8779244815653268
No sampling,SVC,0.7746478873239436,0.7638888888888888,0.7692307692307692,0.9438775510204082,0.9634402157626611,0.8829324511191997
No sampling,XGBClassifier,0.8169014084507042,0.7631578947368421,0.7891156462585034,0.9472789115646258,0.9730841528863704,0.8695071893334966
