Sampling,Model,Recall,Precision,F1,Accuracy,ROC AUC,Precision-Recall AUC
Upsampling,RandomForestClassifier,0.5352112676056338,0.9743589743589743,0.6909090909090908,0.9421768707482994,0.917195630261258,0.7762633044475379
Upsampling,GaussianNB,0.7323943661971831,0.5777777777777777,0.6459627329192545,0.9030612244897959,0.8294466995395974,0.6712425345725144
Upsampling,LinearDiscriminantAnalysis,0.8028169014084507,0.3352941176470588,0.4730290456431535,0.7840136054421769,0.7856812052197129,0.5817892703113867
Upsampling,LogisticRegression,0.3380281690140845,0.9230769230769231,0.49484536082474223,0.9166666666666666,0.8899120058844362,0.7075414329736005
Upsampling,SVC,0.7887323943661971,0.8235294117647058,0.8057553956834531,0.9540816326530612,0.968561854687117,0.902108196972018
Upsampling,XGBClassifier,0.8450704225352113,0.6382978723404256,0.7272727272727273,0.923469387755102,0.9670090173536383,0.8396184113645049
