Sampling,Model,Recall,Precision,F1,Accuracy,ROC AUC,Precision-Recall AUC
Downsampling,RandomForestClassifier,0.7323943661971831,0.6265060240963856,0.6753246753246752,0.9149659863945578,0.9469311030593619,0.8222939809477798
Downsampling,GaussianNB,0.8591549295774648,0.3609467455621302,0.5083333333333333,0.7993197278911565,0.8505734601029776,0.6300638198177698
Downsampling,LinearDiscriminantAnalysis,0.9436619718309859,0.3073394495412844,0.46366782006920415,0.7363945578231292,0.8686081673795188,0.6585235165708505
Downsampling,LogisticRegression,0.7183098591549296,0.4766355140186916,0.5730337078651686,0.8707482993197279,0.8875418857438635,0.6711283110558578
Downsampling,SVC,0.8591549295774648,0.45185185185185184,0.5922330097087378,0.8571428571428571,0.9311030593619746,0.7906681024962038
Downsampling,XGBClassifier,0.971830985915493,0.4825174825174825,0.6448598130841121,0.8707482993197279,0.9198790421445502,0.7297716368138903
