Sampling,Model,Recall,Precision,F1,Accuracy,ROC AUC,Precision-Recall AUC
Upsampling,RandomForestClassifier,0.6056338028169014,0.9555555555555556,0.7413793103448275,0.9489795918367347,0.9458686354101398,0.8400168991138125
Upsampling,GaussianNB,0.7323943661971831,0.5777777777777777,0.6459627329192545,0.9030612244897959,0.8294466995395974,0.6712425345725144
Upsampling,LinearDiscriminantAnalysis,0.8028169014084507,0.3313953488372093,0.46913580246913583,0.7806122448979592,0.7856812052197129,0.5817892703113867
Upsampling,LogisticRegression,0.7887323943661971,0.8484848484848485,0.8175182481751825,0.9574829931972789,0.958999645844117,0.8818082025462549
Upsampling,SVC,0.7746478873239436,0.9482758620689655,0.8527131782945736,0.967687074829932,0.9670907456343476,0.8982823202346492
Upsampling,XGBClassifier,0.6338028169014085,0.9375,0.7563025210084034,0.9506802721088435,0.9447244394802081,0.8619145543750082
