Sampling,Model,Recall,Precision,F1,Accuracy,ROC AUC,Precision-Recall AUC
Downsampling,RandomForestClassifier,0.7323943661971831,0.8253968253968254,0.7761194029850745,0.9489795918367347,0.939589179175634,0.852613087664319
Downsampling,GaussianNB,0.7323943661971831,0.5777777777777777,0.6459627329192545,0.9030612244897959,0.8463508322663251,0.6645833226476331
Downsampling,LinearDiscriminantAnalysis,0.8028169014084507,0.32947976878612717,0.4672131147540984,0.7789115646258503,0.7856812052197129,0.5817892703113867
Downsampling,LogisticRegression,0.7605633802816901,0.8571428571428571,0.8059701492537313,0.95578231292517,0.9571743809082737,0.875507297434303
Downsampling,SVC,0.6338028169014085,0.9574468085106383,0.7627118644067797,0.9523809523809523,0.9453782657258833,0.8426460739960828
Downsampling,XGBClassifier,0.6338028169014085,0.9375,0.7563025210084034,0.9506802721088435,0.9396300433159888,0.8457889516920966
